Operon_no.	left_cordinate	right_cordinate	strand
533	1008616	1010594	+
534	1010693	1011679	-
535	1011810	1012649	+
536	1012655	1012924	-
537	1013086	1014273	-
538	1014509	1015012	+
539	1015105	1017138	+
540	1017151	1021586	-
541	1021867	1026270	+
543	1026439	1032068	+
547	1032336	1035959	+
548	1035956	1037278	-
549	1037402	1038479	+
550	1038480	1039353	-
551	1039648	1039740	-
552	1039915	1040613	-
553	1040719	1041387	+
554	1041399	1042019	-
555	1042164	1043663	+
556	1044122	1045882	-
557	1046120	1049140	+
558	1049148	1050041	-
559	1050224	1050370	+
560	1050375	1050782	-
561	1051388	1054611	+
562	1055002	1057036	-
563	1057201	1058162	+
564	1058314	1061301	+
565	1061622	1062050	+
566	1062171	1066802	-
567	1066823	1067782	+
567.1	1067843	1068046	+
568	1068127	1069569	-
569	1069657	1071558	+
570	1071582	1072560	-
571	1072625	1073638	-
572	1073710	1075248	-
573	1075409	1077076	-
574	1077242	1078576	+
575	1078807	1079691	+
576	1079915	1081138	+
577	1081367	1081786	+
578	1081984	1082725	+
580	1083029	1085081	-
581	1085196	1086393	+
582	1086496	1092254	-
583	1092339	1094422	+
584	1094791	1095267	-
585	1095313	1097903	+
586	1098179	1099771	+
587	1099898	1100821	-
588	1100899	1104375	-
589	1105026	1108139	+
590	1108366	1111458	+
592	1111617	1113450	-
593	1113648	1114013	-
594	1114031	1115644	+
595	1115733	1118816	-
596	1118884	1119501	-
597	1119701	1121353	+
597.1	1121440	1122992	+
599	1123256	1128505	+
600	1129199	1132048	-
601	1132998	1133387	-
601.1	1132130	1132891	-
602	1133616	1136569	+
603	1136570	1136907	-
604	1137267	1139944	-
605	1140124	1140756	+
606	1140749	1141746	-
607	1142237	1144948	+
608	1145106	1145369	+
609	1145454	1146154	+
610	1146283	1147911	+
611	1148357	1151464	+
612	1151554	1154830	+
615	1154844	1159047	-
616	1159130	1159429	-
617	1159693	1162773	+
618	1163016	1164752	+
619	1164820	1166130	+
620	1166270	1172735	+
621	1172841	1174130	-
622	1174284	1175819	+
623	1176508	1178732	-
624	1178906	1179061	-
625	1179165	1179754	-
627	1179849	1180887	-
628	1180973	1183075	-
629	1183239	1183991	+
630	1184014	1184190	-
631	1184254	1185642	+
632	1185664	1186698	-
633	1186885	1190108	+
634	1190105	1191112	-
635	1191305	1193113	-
636	1193276	1193992	+
637	1194028	1197659	-
638	1197735	1198962	-
639	1199089	1199238	-
640	1199492	1203163	-
641	1203412	1203984	-
642	1204106	1207291	-
643	1207424	1207945	-
644	1208217	1208816	+
645	1208972	1211112	-
646	1211168	1212590	+
647	1212651	1213511	-
648	1213981	1216700	+
649	1217028	1218130	+
650	1218139	1220338	-
651	1220535	1222292	+
652	1222305	1223195	-
653	1223264	1223593	+
654	1223722	1224102	+
655	1224190	1224321	-
656	1224493	1226007	+
657	1226141	1229291	+
659	1229340	1230383	-
660	1230748	1231227	-
661	1233054	1233356	+
662	1233504	1237813	+
663	1237868	1238398	-
664	1238520	1240868	-
665	1240937	1241314	+
666	1241418	1243241	+
667	1243292	1244899	-
668	1245163	1246233	+
669	1246920	1247396	+
670	1247757	1250288	-
671	1250554	1251102	+
672	1251192	1251368	+
673	1251371	1254007	-
674	1254720	1258591	+
675	1258877	1261810	+
676	1261886	1262671	+
677	1262857	1266709	+
679	1266917	1268313	+
681	1268520	1269866	+
682	1269938	1272241	+
683	1272589	1280028	+
684	1280183	1284618	+
685	1284624	1287783	-
686	1287879	1291355	-
687	1291753	1292091	+
688	1292202	1293044	+
689	1293181	1294526	-
690	1294595	1298880	+
693	1299008	1301185	-
694	1301278	1301802	-
695	1301993	1304087	+
696	1304093	1304443	-
697	1304705	1305077	+
698	1305189	1306660	+
699	1306766	1309666	+
700	1309772	1311301	+
701	1311323	1315289	-
702	1315500	1317953	-
703	1318104	1319129	-
704	1319269	1321248	+
705	1321300	1321470	-
706	1321668	1323436	+
707	1323479	1325734	-
708	1325802	1328746	-
709	1328834	1330816	-
710	1330891	1331838	-
711	1331972	1336638	+
712	1336864	1337625	+
713	1337787	1342432	-
714	1342538	1343455	-
715	1343532	1346448	+
717	1348063	1353818	-
717.1	1346517	1347995	-
718	1353981	1355674	+
719	1355671	1357023	-
720	1357095	1359754	+
721	1359759	1361161	-
722	1361248	1362339	+
723	1362403	1363035	+
724	1363099	1363481	-
726	1363636	1369202	-
727	1369302	1371773	+
728	1371913	1372320	-
729	1372630	1375792	-
730	1375993	1379177	+
731	1379181	1381280	-
732	1381534	1382876	+
733	1382977	1383126	-
734	1383564	1386171	-
735	1386326	1387099	+
735.1	1387138	1387887	+
737	1388006	1394634	+
738	1394767	1395261	-
739	1395376	1395498	-
741	1395597	1396687	-
742	1396765	1397271	-
743	1397552	1398321	+
744	1398470	1399003	+
745	1400085	1401608	-
746	1401717	1404392	+
747	1404393	1406898	-
748	1407064	1411604	+
750	1411601	1412590	-
751	1412679	1412939	+
752	1412941	1413933	-
753	1414050	1415267	+
754	1415258	1415635	-
755	1415745	1418280	+
756	1418341	1418772	-
757	1418730	1419224	+
758	1419254	1419994	-
759	1420118	1422046	-
760	1422154	1422990	-
761	1424774	1425400	+
762	1425640	1429948	+
763	1430061	1430900	+
764	1431129	1442448	+
764.1	1442583	1443158	+
765	1443405	1445270	+
767	1445475	1445888	+
768	1446332	1446724	-
769	1446891	1448638	-
770	1448810	1450039	+
771	1450109	1451731	+
772	1451802	1455832	+
773	1455951	1458584	+
775	1458745	1459527	+
776	1459714	1461083	+
777	1461471	1462034	+
778	1462307	1463100	+
779	1463228	1467880	-
781	1468212	1469198	-
782	1469366	1470241	+
783	1470370	1477386	+
784	1477574	1479935	+
785	1480166	1481191	+
786	1481196	1481714	-
787	1482020	1482244	-
788	1482331	1483221	+
789	1483373	1485853	+
790	1486421	1486729	-
791	1486831	1487439	-
792	1487512	1490177	+
792.1	1490238	1491557	+
793	1492093	1492239	-
794	1492535	1494683	+
795	1494812	1495345	+
796	1495472	1498192	+
797	1498487	1500605	+
798	1500699	1502186	-
799	1502307	1503038	+
800	1503106	1503747	-
801	1503930	1506251	+
802	1506300	1507313	+
803	1507389	1510149	+
804	1510305	1510772	+
805	1510803	1513286	-
806	1513437	1515113	+
806.1	1515188	1518478	+
807	1518556	1520453	-
809	1520934	1523918	+
810	1524077	1524403	-
811	1524621	1525478	-
812	1525535	1526167	+
813	1526164	1529118	-
814	1529975	1533644	+
815	1533716	1534612	+
816	1534788	1536014	+
817	1536112	1536558	-
818	1536723	1538515	+
818.1	1538581	1540509	+
819	1540672	1541166	+
820	1541409	1543547	+
821	1543638	1544192	-
822	1544458	1544940	-
824	1545062	1546116	+
825	1546292	1548348	+
826	1548563	1549303	+
827	1549509	1550008	-
830	1550159	1551190	+
831	1551231	1552631	-
832	1552866	1554861	+
833	1554869	1557607	-
835	1557697	1558137	+
836	1558246	1562858	+
837	1562926	1564746	+
838	1565243	1566356	+
841	1567625	1568445	+
842	1568518	1568736	+
843	1568764	1569069	+
844	1569294	1570469	-
845	1570667	1571776	-
846	1572066	1572383	-
847	1572606	1574201	+
848	1574323	1574589	-
849	1574712	1582468	+
850	1582599	1583243	+
851	1583425	1585601	+
852	1585598	1586344	-
853	1586381	1590603	+
855	1590869	1591530	+
856	1591536	1593723	-
857	1593897	1594643	+
858	1594813	1596615	+
859	1596728	1598278	+
860	1598349	1599989	+
861	1599999	1603113	-
862	1603290	1606026	-
863	1606088	1607955	+
864	1608057	1611922	+
866	1613345	1614289	+
867	1611887	1613346	-
868	1614298	1616739	-
869	1616805	1618991	-
870	1619099	1620214	-
871	1620483	1621768	+
872	1621899	1622564	+
873	1622843	1625594	+
875	1628290	1629508	+
876	1629643	1630458	-
877	1630557	1631426	-
878	1631535	1634067	-
879	1634266	1635013	+
880	1635261	1636082	+
881	1636359	1637180	+
882	1637293	1637661	+
883	1637841	1639297	+
884	1639377	1642241	+
884.1	1642303	1643408	+
885	1643665	1645001	+
886	1645354	1645890	-
887	1646212	1648902	+
888	1649458	1650156	-
890	1650282	1651178	+
891	1651185	1653455	-
892	1653545	1654885	-
893	1655039	1656220	+
894	1656352	1658577	-
895	1659435	1662360	+
896	1662374	1665261	-
898	1665480	1669094	+
900	1669091	1672134	-
901	1672295	1676727	+
902	1676914	1679643	+
903	1679798	1681962	+
905	1682996	1683307	-
906	1683567	1684652	+
907	1684807	1686171	+
908	1686283	1687005	+
909	1687082	1688644	+
910	1688684	1690118	-
911	1690173	1690907	+
912	1690968	1692194	-
913	1692309	1694450	-
914	1694679	1695041	+
915	1695303	1696811	+
916	1696883	1697533	+
917	1697642	1697974	+
918	1698089	1698451	+
919	1698521	1699561	-
920	1699686	1702070	-
921	1702356	1704437	-
922	1704585	1708107	+
923	1708112	1709248	-
924	1709381	1712337	+
925	1712453	1712881	+
926	1713020	1714831	-
927	1715035	1718895	-
928	1718983	1719228	-
929	1719348	1720859	+
930	1720927	1722017	-
931	1722154	1722390	+
932	1722517	1723155	+
933	1723294	1724496	-
933.5	1845242	1845427	-
934	1724760	1725353	+
936	1725350	1726562	-
937	1726781	1727500	+
938	1727463	1728137	-
939	1728187	1730142	+
940	1730240	1731958	+
941	1732085	1732963	+
942	1733317	1739690	+
945	1739738	1741014	-
946	1741064	1741558	+
946.1	1741687	1742046	+
946.2	1742148	1744376	+
947	1744514	1744933	-
948	1745014	1745598	+
949	1745770	1747389	-
950	1747568	1749035	+
951	1749159	1750721	+
952	1751025	1751486	-
953	1751636	1755804	+
953.1	1755866	1759530	+
954	1759642	1763676	+
955	1763716	1764555	-
956	1764656	1765552	-
957	1765667	1766527	+
958	1766524	1768334	-
959	1768405	1770605	+
960	1770655	1771179	-
961	1771304	1774581	+
962	1774739	1776417	+
963	1776509	1776976	+
964	1777143	1778806	-
965	1778893	1781108	+
966	1781219	1781911	-
969	1782651	1790440	+
970	1790704	1793469	+
971	1793574	1793930	+
972	1794029	1797482	-
973	1797735	1803712	+
974	1803814	1809357	+
975	1809354	1810292	-
976	1810291	1811511	+
977	1811466	1812350	-
978	1812515	1812844	-
979	1813006	1815859	+
980	1815952	1820686	+
982	1820814	1826589	-
983	1826794	1828470	-
984	1828520	1830516	+
986	1830513	1831520	-
987	1831698	1836501	+
988	1836721	1837566	-
989	1837718	1840005	+
990	1840110	1840661	+
991	1840745	1842606	-
992	1842780	1844628	-
993	1844752	1845773	+
994	1845879	1848030	+
995	1849599	1850426	+
996	1850579	1854650	+
997	1854729	1856234	-
998	1856420	1864189	-
999	1864287	1864886	+
1000	1864901	1866424	-
1001	1866634	1869063	-
1002	1869244	1870539	-
1003	1870808	1871467	+
1004	1871442	1872251	-
1005	1872325	1873437	-
1006	1873509	1874042	-
1007	1874210	1876864	+
1009	1877029	1877265	+
1009.1	1877432	1881328	+
1010	1881367	1881672	-
1011	1881785	1883437	-
1012	1883535	1883654	-
1013	1883718	1886940	-
1014	1887107	1891771	-
1015	1891999	1894400	+
1017	1894443	1895228	-
1018	1895423	1895821	+
1019	1895834	1898175	-
1020	1898272	1898691	+
1021	1898688	1898930	-
1022	1899035	1899412	+
1023	1899409	1900026	-
1024	1900105	1901872	-
1025	1901998	1903167	+
1026	1903417	1906496	+
1027	1906529	1906798	-
1028	1906954	1908453	-
1029	1908544	1911152	-
1030	1911358	1912050	-
1032	1912227	1913097	-
1033	1913996	1914736	+
1034	1914921	1915856	-
1035	1916111	1916470	-
1036	1916649	1917164	-
1037	1917304	1917771	+
1038	1917887	1919539	+
1039	1919654	1919836	+
1040	1919960	1920958	+
1041	1920971	1921741	-
1042	1921855	1923135	+
1043	1923489	1923791	+
1045	1923957	1931668	+
1046	1931701	1934419	-
1047	1934502	1935929	+
1048	1935926	1937604	-
1049	1937704	1945804	+
1050	1945962	1947563	+
1051	1947560	1949762	-
1052	1950040	1950258	-
1053	1950334	1950669	-
1055	1951298	1954770	+
1056	1954767	1955342	-
1057	1955493	1956539	+
1058	1956674	1959535	+
1059	1959650	1961173	+
1060	1961197	1964894	+
1061	1965009	1968214	-
1062	1968272	1968904	+
1063	1969053	1970081	-
1066	1970882	1972324	-
1067	1972490	1974370	+
1068	1974451	1976028	+
1069	1976177	1976803	-
1070	1977086	1983781	-
1071	1983992	1985332	+
1072	1985425	1985829	+
1073	1985974	1986741	+
1074	1986769	1991769	+
1075	1991852	1995033	+
1076	1995291	1996484	+
1077	1996891	1998630	-
1078	1998726	2003693	+
1079	2005193	2008671	-
1080	2008780	2009934	-
1081	2010241	2010474	+
1082	2010768	2012213	-
1083	2012838	2013983	+
1084	2014046	2015716	-
1085	2015915	2016775	+
1086	2016779	2018377	-
1087	2018600	2024378	+
1088	2024476	2025252	-
1089	2025426	2028326	-
1090	2028496	2029269	+
1091	2029278	2030912	-
1092	2031155	2032660	+
1093	2032774	2033601	-
1094	2033679	2035876	+
1095	2035926	2037557	-
1096	2037657	2039096	+
1097	2039570	2039776	-
1098	2040047	2044365	-
1100	2044927	2052303	+
1101	2052344	2055085	-
1102	2055562	2056449	-
1102.1	2055307	2055426	-
1105	2056542	2056922	+
1106	2057017	2058888	+
1107	2058860	2059942	-
1107.1	2059987	2061114	-
1109	2061343	2062668	+
1110	2062750	2063394	+
1111	2063515	2068035	-
1112	2068157	2069710	+
1113	2069785	2072426	-
1114	2072620	2073681	+
1115	2073818	2074621	+
1116	2074608	2076391	-
1117	2076486	2077861	+
1118	2077966	2085397	-
1119	2085576	2086226	+
1120	2086293	2086811	-
1121	2086909	2088006	-
1122	2088215	2089540	+
1123	2089668	2090129	+
1124	2090363	2091980	+
1125	2092058	2095621	-
1126	2095782	2096969	-
1128	2097338	2100176	+
1129	2100319	2102505	+
1130	2103570	2103770	-
1130.1	2102616	2103425	-
1131	2103849	2106214	+
1132	2106314	2106967	+
1133	2106904	2107942	-
1134	2108222	2110945	+
1135	2111017	2111514	+
1136	2111609	2112478	+
1137	2112556	2114394	-
1138	2114516	2115277	-
1139	2115417	2118922	+
1140	2118945	2119154	-
1141	2119270	2121685	+
1142	2121781	2123273	+
1143	2123444	2124148	+
1144	2124219	2127355	-
1145	2127354	2128766	+
1145.1	2128834	2130114	+
1146	2130172	2132201	-
1147	2145250	2147260	-
1147.1	2132287	2145072	-
1148	2147447	2148097	+
1149	2148110	2148739	-
1150	2148907	2152463	-
1151	2152629	2153588	+
1153	2158098	2177472	-
1153.1	2153585	2157989	-
1154	2178958	2180166	-
1155	2180650	2180928	-
1156	2181072	2183471	-
1158	2183866	2185128	-
1159	2185464	2186132	+
1160.1	2187021	2188648	-
1160.5	2186211	2186852	-
1161	2188693	2192279	-
1162	2192516	2194307	+
1163	2194602	2196782	+
1164	2196860	2197255	-
1165	2197425	2200246	+
1166	2200445	2202532	+
1167	2202810	2203127	+
1168	2203400	2204932	-
1169	2205060	2206108	-
1170	2206163	2208831	+
1171	2208899	2210274	-
1172	2210438	2211667	+
1173.1	2214597	2215493	-
1173.2	2213567	2214496	-
1173.3	2211778	2213484	-
1174	2215780	2217882	+
1175	2218017	2218730	-
1176	2218802	2219416	-
1177	2219512	2222898	-
1178	2223019	2223858	+
1179	2223933	2225008	+
1180	2226974	2229875	-
1180.1	2225052	2226881	-
1181	2230926	2232427	-
1182	2232512	2232736	-
1183	2232870	2237541	-
1185	2237630	2237962	+
1186	2237967	2238341	-
1187	2238341	2240098	+
1188	2240106	2240744	-
1189	2240848	2242695	+
1190	2242725	2243642	-
1191	2243761	2244786	+
1192	2244856	2245224	-
1193	2245508	2247499	+
1194	2247588	2248484	+
1195	2248481	2250494	-
1197	2250611	2252048	+
1198	2253002	2253388	-
1198.1	2252045	2252940	-
1199	2253663	2256422	-
1200	2256813	2260088	-
1201	2260320	2261314	-
1202	2261538	2263219	+
1203	2263333	2263515	-
1204	2263969	2265600	+
1205	2265728	2266525	-
1206	2266640	2267236	-
1207	2267319	2271166	-
1208	2271309	2274592	+
1209	2274928	2275422	+
1210	2275567	2276028	-
1211	2276272	2279196	-
1212	2279405	2279620	+
1213	2279617	2281278	-
1214	2281453	2283864	+
1216	2283929	2287844	-
1217	2288142	2294236	-
1219	2294518	2300545	-
1220	2300772	2304447	+
1221	2304546	2304875	+
1222	2304950	2305180	+
1223	2305334	2308450	-
1225	2308548	2310124	-
1226	2310141	2310677	+
1227	2310846	2312024	+
1228	2312039	2313810	-
1229	2313968	2315475	+
1230	2315586	2316095	-
1231	2316227	2316895	+
1233	2317218	2318078	+
1234	2318142	2321942	-
1235	2322045	2322497	+
1236	2322614	2324580	-
1237	2324890	2327866	+
1238	2327877	2328401	-
1239	2328416	2328604	+
1240	2328683	2328937	+
1241	2329001	2329906	+
1242	2330137	2331435	+
1243	2331553	2332653	-
1244	2332741	2334281	-
1245	2334262	2335619	+
1246	2335874	2338431	+
1247	2339090	2340829	+
1248	2340908	2343046	+
1249	2343127	2343513	+
1251	2343481	2344412	-
1252	2344537	2346370	+
1253	2346386	2346784	-
1254	2346873	2348474	-
1255	2348573	2349316	+
1256	2349330	2349722	-
1257	2349785	2350345	-
1258	2350414	2351211	+
1259	2351214	2351792	-
1260	2351931	2352950	-
1261	2353231	2354187	-
1262	2354280	2354843	+
1263	2354920	2355870	+
1264	2355989	2356828	+
1265	2356825	2357847	-
1266	2357949	2358464	+
1267	2358556	2359698	+
1268	2359781	2360692	+
1269	2360757	2361848	-
1270	2361994	2362434	+
1273	2364482	2365177	-
1273.1	2362451	2364383	-
